date,city,latitude,longitude,temp_mean,temp_min,temp_max,precipitation_mm,heating_degree_days,cooling_degree_days,weather_class,is_cold,is_hot,weather_demand_pressure
2014-01-01,Tirana,41.3275,19.8187,6.41,1.77,13.0,1.93,11.59,0.0,-1,1,0,1
2014-01-02,Tirana,41.3275,19.8187,4.75,-0.13,10.31,22.4,13.25,0.0,-1,1,0,1
2014-01-03,Tirana,41.3275,19.8187,7.18,1.84,13.02,0.0,10.82,0.0,-1,1,0,1
2014-01-04,Tirana,41.3275,19.8187,7.63,2.17,14.12,2.56,10.37,0.0,-1,1,0,1
2014-01-05,Tirana,41.3275,19.8187,3.04,-1.57,8.36,0.0,14.96,0.0,-1,1,0,1
2014-01-06,Tirana,41.3275,19.8187,3.83,-1.65,9.09,0.0,14.17,0.0,-1,1,0,1
2014-01-07,Tirana,41.3275,19.8187,6.08,0.91,15.2,0.0,11.92,0.0,-1,1,0,1
2014-01-08,Tirana,41.3275,19.8187,5.62,-0.21,12.02,12.7,12.38,0.0,-1,1,0,1
2014-01-09,Tirana,41.3275,19.8187,5.91,0.07,15.33,0.0,12.09,0.0,-1,1,0,1
2014-01-10,Tirana,41.3275,19.8187,4.23,-1.45,13.57,5.24,13.77,0.0,-1,1,0,1
2014-01-11,Tirana,41.3275,19.8187,7.0,1.36,12.65,0.0,11.0,0.0,-1,1,0,1
2014-01-12,Tirana,41.3275,19.8187,6.49,1.68,14.71,1.01,11.51,0.0,-1,1,0,1
2014-01-13,Tirana,41.3275,19.8187,5.3,0.71,13.01,5.9,12.7,0.0,-1,1,0,1
2014-01-14,Tirana,41.3275,19.8187,6.76,1.55,14.86,20.67,11.24,0.0,-1,1,0,1
2014-01-15,Tirana,41.3275,19.8187,5.96,-1.19,11.39,0.0,12.04,0.0,-1,1,0,1
2014-01-16,Tirana,41.3275,19.8187,3.74,-4.23,9.59,6.92,14.26,0.0,-1,1,0,1
2014-01-17,Tirana,41.3275,19.8187,5.78,-1.97,11.12,0.0,12.22,0.0,-1,1,0,1
2014-01-18,Tirana,41.3275,19.8187,3.56,-2.71,11.28,0.0,14.44,0.0,-1,1,0,1
2014-01-19,Tirana,41.3275,19.8187,7.25,0.89,16.69,0.0,10.75,0.0,-1,1,0,1
2014-01-20,Tirana,41.3275,19.8187,5.37,-0.23,13.4,9.71,12.63,0.0,-1,1,0,1
2014-01-21,Tirana,41.3275,19.8187,5.76,-1.45,13.96,9.77,12.24,0.0,-1,1,0,1
2014-01-22,Tirana,41.3275,19.8187,5.06,-2.12,14.49,15.68,12.94,0.0,-1,1,0,1
2014-01-23,Tirana,41.3275,19.8187,8.19,0.73,16.24,7.12,9.81,0.0,-1,1,0,1
2014-01-24,Tirana,41.3275,19.8187,5.49,-2.14,10.67,0.0,12.51,0.0,-1,1,0,1
2014-01-25,Tirana,41.3275,19.8187,5.48,-0.54,14.38,1.24,12.52,0.0,-1,1,0,1
2014-01-26,Tirana,41.3275,19.8187,5.27,-1.92,11.91,0.0,12.73,0.0,-1,1,0,1
2014-01-27,Tirana,41.3275,19.8187,7.0,-0.32,12.02,19.0,11.0,0.0,-1,1,0,1
2014-01-28,Tirana,41.3275,19.8187,6.57,0.99,13.86,0.0,11.43,0.0,-1,1,0,1
2014-01-29,Tirana,41.3275,19.8187,6.91,-0.85,16.12,9.98,11.09,0.0,-1,1,0,1
2014-01-30,Tirana,41.3275,19.8187,6.73,1.9,12.89,0.0,11.27,0.0,-1,1,0,1
2014-01-31,Tirana,41.3275,19.8187,9.53,1.55,16.74,0.91,8.47,0.0,-1,1,0,1
2014-02-01,Tirana,41.3275,19.8187,4.94,-2.25,10.73,0.0,13.06,0.0,-1,1,0,1
2014-02-02,Tirana,41.3275,19.8187,5.02,0.2,10.28,0.0,12.98,0.0,-1,1,0,1
2014-02-03,Tirana,41.3275,19.8187,4.66,-2.14,10.02,1.72,13.34,0.0,-1,1,0,1
2014-02-04,Tirana,41.3275,19.8187,7.13,2.51,15.4,32.58,10.87,0.0,-1,1,0,1
2014-02-05,Tirana,41.3275,19.8187,7.97,0.78,16.86,5.85,10.03,0.0,-1,1,0,1
2014-02-06,Tirana,41.3275,19.8187,6.03,-1.26,11.68,2.11,11.97,0.0,-1,1,0,1
2014-02-07,Tirana,41.3275,19.8187,4.78,-1.82,11.08,5.3,13.22,0.0,-1,1,0,1
2014-02-08,Tirana,41.3275,19.8187,4.21,-3.29,10.08,0.0,13.79,0.0,-1,1,0,1
2014-02-09,Tirana,41.3275,19.8187,6.45,1.61,11.57,0.0,11.55,0.0,-1,1,0,1
2014-02-10,Tirana,41.3275,19.8187,6.76,1.3,14.25,5.92,11.24,0.0,-1,1,0,1
2014-02-11,Tirana,41.3275,19.8187,7.05,1.1,15.2,0.0,10.95,0.0,-1,1,0,1
2014-02-12,Tirana,41.3275,19.8187,5.86,1.22,13.78,7.93,12.14,0.0,-1,1,0,1
2014-02-13,Tirana,41.3275,19.8187,7.6,1.53,14.35,0.0,10.4,0.0,-1,1,0,1
2014-02-14,Tirana,41.3275,19.8187,8.02,2.59,15.51,1.86,9.98,0.0,-1,1,0,1
2014-02-15,Tirana,41.3275,19.8187,8.27,2.4,13.69,0.0,9.73,0.0,-1,1,0,1
2014-02-16,Tirana,41.3275,19.8187,9.08,3.09,14.77,0.0,8.92,0.0,-1,1,0,1
2014-02-17,Tirana,41.3275,19.8187,7.61,0.03,16.8,14.14,10.39,0.0,-1,1,0,1
2014-02-18,Tirana,41.3275,19.8187,8.58,3.13,17.0,1.54,9.42,0.0,-1,1,0,1
2014-02-19,Tirana,41.3275,19.8187,7.4,-0.23,16.56,5.13,10.6,0.0,-1,1,0,1
2014-02-20,Tirana,41.3275,19.8187,7.71,1.72,16.84,0.0,10.29,0.0,-1,1,0,1
2014-02-21,Tirana,41.3275,19.8187,8.09,2.44,16.01,0.0,9.91,0.0,-1,1,0,1
2014-02-22,Tirana,41.3275,19.8187,4.42,-1.84,13.59,0.0,13.58,0.0,-1,1,0,1
2014-02-23,Tirana,41.3275,19.8187,6.47,0.51,13.35,0.0,11.53,0.0,-1,1,0,1
2014-02-24,Tirana,41.3275,19.8187,6.26,0.86,11.27,0.0,11.74,0.0,-1,1,0,1
2014-02-25,Tirana,41.3275,19.8187,6.06,-0.2,11.34,0.0,11.94,0.0,-1,1,0,1
2014-02-26,Tirana,41.3275,19.8187,7.06,2.03,12.56,0.0,10.94,0.0,-1,1,0,1
2014-02-27,Tirana,41.3275,19.8187,10.53,4.8,15.96,0.0,7.47,0.0,0,0,0,0
2014-02-28,Tirana,41.3275,19.8187,6.77,0.29,13.35,17.05,11.23,0.0,-1,1,0,1
2014-03-01,Tirana,41.3275,19.8187,9.74,3.79,17.9,0.0,8.26,0.0,-1,1,0,1
2014-03-02,Tirana,41.3275,19.8187,6.02,-1.36,14.58,0.3,11.98,0.0,-1,1,0,1
2014-03-03,Tirana,41.3275,19.8187,8.65,3.25,16.31,9.15,9.35,0.0,-1,1,0,1
2014-03-04,Tirana,41.3275,19.8187,9.51,1.62,15.17,0.0,8.49,0.0,-1,1,0,1
2014-03-05,Tirana,41.3275,19.8187,10.49,3.25,18.86,4.84,7.51,0.0,0,0,0,0
2014-03-06,Tirana,41.3275,19.8187,11.25,3.36,17.84,4.66,6.75,0.0,0,0,0,0
2014-03-07,Tirana,41.3275,19.8187,11.49,4.06,16.55,0.74,6.51,0.0,0,0,0,0
2014-03-08,Tirana,41.3275,19.8187,9.59,4.59,15.85,0.0,8.41,0.0,-1,1,0,1
2014-03-09,Tirana,41.3275,19.8187,9.57,3.23,16.06,0.0,8.43,0.0,-1,1,0,1
2014-03-10,Tirana,41.3275,19.8187,11.72,6.63,17.96,8.71,6.28,0.0,0,0,0,0
2014-03-11,Tirana,41.3275,19.8187,9.68,2.31,18.33,5.32,8.32,0.0,-1,1,0,1
2014-03-12,Tirana,41.3275,19.8187,7.99,1.45,16.41,0.0,10.01,0.0,-1,1,0,1
2014-03-13,Tirana,41.3275,19.8187,7.93,2.51,16.06,0.0,10.07,0.0,-1,1,0,1
2014-03-14,Tirana,41.3275,19.8187,8.12,0.37,13.74,7.31,9.88,0.0,-1,1,0,1
2014-03-15,Tirana,41.3275,19.8187,10.71,5.81,19.34,0.0,7.29,0.0,0,0,0,0
2014-03-16,Tirana,41.3275,19.8187,10.72,4.25,18.77,0.0,7.28,0.0,0,0,0,0
2014-03-17,Tirana,41.3275,19.8187,11.93,4.9,17.8,5.82,6.07,0.0,0,0,0,0
2014-03-18,Tirana,41.3275,19.8187,10.53,5.83,18.45,0.0,7.47,0.0,0,0,0,0
2014-03-19,Tirana,41.3275,19.8187,11.55,4.96,18.73,0.0,6.45,0.0,0,0,0,0
2014-03-20,Tirana,41.3275,19.8187,12.12,4.76,19.09,0.0,5.88,0.0,0,0,0,0
2014-03-21,Tirana,41.3275,19.8187,10.62,5.88,16.12,0.0,7.38,0.0,0,0,0,0
2014-03-22,Tirana,41.3275,19.8187,11.7,5.41,19.03,0.0,6.3,0.0,0,0,0,0
2014-03-23,Tirana,41.3275,19.8187,10.38,4.98,15.83,0.0,7.62,0.0,0,0,0,0
2014-03-24,Tirana,41.3275,19.8187,11.2,4.38,16.94,0.0,6.8,0.0,0,0,0,0
2014-03-25,Tirana,41.3275,19.8187,11.47,6.55,17.06,0.0,6.53,0.0,0,0,0,0
2014-03-26,Tirana,41.3275,19.8187,10.09,2.31,19.39,0.0,7.91,0.0,0,0,0,0
2014-03-27,Tirana,41.3275,19.8187,13.04,5.41,19.32,0.0,4.96,0.0,0,0,0,0
2014-03-28,Tirana,41.3275,19.8187,11.43,6.28,18.03,0.0,6.57,0.0,0,0,0,0
2014-03-29,Tirana,41.3275,19.8187,12.29,6.66,18.74,3.12,5.71,0.0,0,0,0,0
2014-03-30,Tirana,41.3275,19.8187,13.08,6.52,22.12,7.19,4.92,0.0,0,0,0,0
2014-03-31,Tirana,41.3275,19.8187,13.38,6.36,20.91,0.0,4.62,0.0,0,0,0,0
2014-04-01,Tirana,41.3275,19.8187,13.74,7.69,22.88,0.0,4.26,0.0,0,0,0,0
2014-04-02,Tirana,41.3275,19.8187,13.09,8.04,19.44,2.0,4.91,0.0,0,0,0,0
2014-04-03,Tirana,41.3275,19.8187,12.89,8.02,18.4,0.0,5.11,0.0,0,0,0,0
2014-04-04,Tirana,41.3275,19.8187,13.61,5.61,21.12,2.15,4.39,0.0,0,0,0,0
2014-04-05,Tirana,41.3275,19.8187,10.8,4.7,17.35,0.0,7.2,0.0,0,0,0,0
2014-04-06,Tirana,41.3275,19.8187,11.22,3.67,19.83,0.0,6.78,0.0,0,0,0,0
2014-04-07,Tirana,41.3275,19.8187,11.16,4.97,20.11,8.74,6.84,0.0,0,0,0,0
2014-04-08,Tirana,41.3275,19.8187,11.73,4.0,18.85,0.0,6.27,0.0,0,0,0,0
2014-04-09,Tirana,41.3275,19.8187,14.5,9.69,23.87,2.82,3.5,0.0,0,0,0,0
2014-04-10,Tirana,41.3275,19.8187,13.02,8.12,20.51,0.0,4.98,0.0,0,0,0,0
2014-04-11,Tirana,41.3275,19.8187,14.53,6.77,20.75,2.73,3.47,0.0,0,0,0,0
2014-04-12,Tirana,41.3275,19.8187,17.46,9.65,24.66,0.0,0.54,0.0,0,0,0,0
2014-04-13,Tirana,41.3275,19.8187,15.16,9.56,20.33,0.0,2.84,0.0,0,0,0,0
2014-04-14,Tirana,41.3275,19.8187,16.77,11.02,25.39,7.27,1.23,0.0,0,0,0,0
2014-04-15,Tirana,41.3275,19.8187,14.31,8.23,19.77,18.95,3.69,0.0,0,0,0,0
2014-04-16,Tirana,41.3275,19.8187,15.76,9.8,22.15,2.04,2.24,0.0,0,0,0,0
2014-04-17,Tirana,41.3275,19.8187,14.23,9.06,21.77,0.0,3.77,0.0,0,0,0,0
2014-04-18,Tirana,41.3275,19.8187,14.94,7.3,20.13,0.0,3.06,0.0,0,0,0,0
2014-04-19,Tirana,41.3275,19.8187,16.91,11.52,22.27,0.0,1.09,0.0,0,0,0,0
2014-04-20,Tirana,41.3275,19.8187,12.99,6.02,21.12,0.0,5.01,0.0,0,0,0,0
2014-04-21,Tirana,41.3275,19.8187,16.41,11.67,21.73,0.0,1.59,0.0,0,0,0,0
2014-04-22,Tirana,41.3275,19.8187,16.89,12.25,24.04,0.0,1.11,0.0,0,0,0,0
2014-04-23,Tirana,41.3275,19.8187,16.1,9.31,22.62,0.0,1.9,0.0,0,0,0,0
2014-04-24,Tirana,41.3275,19.8187,15.26,9.57,21.29,0.0,2.74,0.0,0,0,0,0
2014-04-25,Tirana,41.3275,19.8187,18.1,11.3,23.95,0.0,0.0,0.0,0,0,0,0
2014-04-26,Tirana,41.3275,19.8187,17.21,12.38,25.64,0.0,0.79,0.0,0,0,0,0
2014-04-27,Tirana,41.3275,19.8187,18.72,10.89,28.0,0.0,0.0,0.0,0,0,0,0
2014-04-28,Tirana,41.3275,19.8187,18.7,11.59,24.34,15.95,0.0,0.0,0,0,0,0
2014-04-29,Tirana,41.3275,19.8187,21.07,13.5,30.39,12.71,0.0,0.0,0,0,0,0
2014-04-30,Tirana,41.3275,19.8187,18.23,13.25,25.9,0.0,0.0,0.0,0,0,0,0
2014-05-01,Tirana,41.3275,19.8187,17.14,11.52,25.03,0.0,0.86,0.0,0,0,0,0
2014-05-02,Tirana,41.3275,19.8187,19.03,13.24,27.23,0.0,0.0,0.0,0,0,0,0
2014-05-03,Tirana,41.3275,19.8187,19.54,13.16,27.71,0.0,0.0,0.0,0,0,0,0
2014-05-04,Tirana,41.3275,19.8187,21.12,15.58,29.81,0.0,0.0,0.0,0,0,0,0
2014-05-05,Tirana,41.3275,19.8187,20.0,15.28,27.17,0.0,0.0,0.0,0,0,0,0
2014-05-06,Tirana,41.3275,19.8187,19.12,13.33,26.52,3.5,0.0,0.0,0,0,0,0
2014-05-07,Tirana,41.3275,19.8187,20.99,15.6,27.45,0.0,0.0,0.0,0,0,0,0
2014-05-08,Tirana,41.3275,19.8187,16.54,10.69,22.01,13.43,1.46,0.0,0,0,0,0
2014-05-09,Tirana,41.3275,19.8187,17.8,12.61,25.79,0.0,0.2,0.0,0,0,0,0
2014-05-10,Tirana,41.3275,19.8187,17.61,12.19,22.76,0.0,0.39,0.0,0,0,0,0
2014-05-11,Tirana,41.3275,19.8187,18.71,12.02,24.95,0.0,0.0,0.0,0,0,0,0
2014-05-12,Tirana,41.3275,19.8187,17.92,12.06,23.35,0.0,0.08,0.0,0,0,0,0
2014-05-13,Tirana,41.3275,19.8187,21.76,16.05,27.62,0.0,0.0,0.0,0,0,0,0
2014-05-14,Tirana,41.3275,19.8187,20.8,14.43,28.67,0.0,0.0,0.0,0,0,0,0
2014-05-15,Tirana,41.3275,19.8187,19.1,11.9,26.93,0.0,0.0,0.0,0,0,0,0
2014-05-16,Tirana,41.3275,19.8187,19.93,14.11,26.83,0.0,0.0,0.0,0,0,0,0
2014-05-17,Tirana,41.3275,19.8187,21.26,14.71,26.67,3.26,0.0,0.0,0,0,0,0
2014-05-18,Tirana,41.3275,19.8187,21.84,13.96,28.79,13.73,0.0,0.0,0,0,0,0
2014-05-19,Tirana,41.3275,19.8187,23.73,17.4,30.31,0.0,0.0,0.0,0,0,0,0
2014-05-20,Tirana,41.3275,19.8187,25.41,17.73,33.66,14.73,0.0,1.41,0,0,0,0
2014-05-21,Tirana,41.3275,19.8187,21.47,14.2,29.08,0.0,0.0,0.0,0,0,0,0
2014-05-22,Tirana,41.3275,19.8187,19.63,14.93,26.85,0.0,0.0,0.0,0,0,0,0
2014-05-23,Tirana,41.3275,19.8187,18.02,12.02,25.21,0.0,0.0,0.0,0,0,0,0
2014-05-24,Tirana,41.3275,19.8187,22.31,15.37,31.66,4.9,0.0,0.0,0,0,0,0
2014-05-25,Tirana,41.3275,19.8187,20.84,12.89,29.25,0.0,0.0,0.0,0,0,0,0
2014-05-26,Tirana,41.3275,19.8187,21.69,15.58,28.92,1.01,0.0,0.0,0,0,0,0
2014-05-27,Tirana,41.3275,19.8187,21.88,17.05,29.03,0.0,0.0,0.0,0,0,0,0
2014-05-28,Tirana,41.3275,19.8187,22.57,16.1,27.68,0.0,0.0,0.0,0,0,0,0
2014-05-29,Tirana,41.3275,19.8187,24.7,19.75,33.94,9.51,0.0,0.7,0,0,0,0
2014-05-30,Tirana,41.3275,19.8187,23.29,16.16,29.73,10.75,0.0,0.0,0,0,0,0
2014-05-31,Tirana,41.3275,19.8187,22.91,16.63,29.06,0.51,0.0,0.0,0,0,0,0
2014-06-01,Tirana,41.3275,19.8187,21.39,14.35,30.88,0.0,0.0,0.0,0,0,0,0
2014-06-02,Tirana,41.3275,19.8187,20.75,13.21,28.99,0.0,0.0,0.0,0,0,0,0
2014-06-03,Tirana,41.3275,19.8187,22.78,16.08,28.0,7.98,0.0,0.0,0,0,0,0
2014-06-04,Tirana,41.3275,19.8187,23.58,16.93,28.86,0.75,0.0,0.0,0,0,0,0
2014-06-05,Tirana,41.3275,19.8187,27.26,20.12,32.37,0.0,0.0,3.26,1,0,1,1
2014-06-06,Tirana,41.3275,19.8187,25.06,17.61,32.75,0.0,0.0,1.06,0,0,0,0
2014-06-07,Tirana,41.3275,19.8187,26.41,18.86,31.73,0.0,0.0,2.41,1,0,1,1
2014-06-08,Tirana,41.3275,19.8187,24.18,19.56,33.38,0.0,0.0,0.18,0,0,0,0
2014-06-09,Tirana,41.3275,19.8187,23.66,17.22,32.88,0.0,0.0,0.0,0,0,0,0
2014-06-10,Tirana,41.3275,19.8187,24.22,18.97,31.68,0.0,0.0,0.22,0,0,0,0
2014-06-11,Tirana,41.3275,19.8187,24.23,16.72,32.0,0.0,0.0,0.23,0,0,0,0
2014-06-12,Tirana,41.3275,19.8187,28.76,21.99,35.07,0.0,0.0,4.76,1,0,1,1
2014-06-13,Tirana,41.3275,19.8187,24.31,18.34,29.6,11.94,0.0,0.31,0,0,0,0
2014-06-14,Tirana,41.3275,19.8187,26.41,21.25,34.73,3.03,0.0,2.41,1,0,1,1
2014-06-15,Tirana,41.3275,19.8187,23.01,17.32,28.46,0.0,0.0,0.0,0,0,0,0
2014-06-16,Tirana,41.3275,19.8187,26.2,19.24,31.59,0.87,0.0,2.2,1,0,1,1
2014-06-17,Tirana,41.3275,19.8187,25.72,20.51,32.12,0.0,0.0,1.72,0,0,0,0
2014-06-18,Tirana,41.3275,19.8187,24.6,19.78,29.66,0.0,0.0,0.6,0,0,0,0
2014-06-19,Tirana,41.3275,19.8187,24.97,17.36,31.92,0.0,0.0,0.97,0,0,0,0
2014-06-20,Tirana,41.3275,19.8187,24.22,17.05,32.4,0.0,0.0,0.22,0,0,0,0
2014-06-21,Tirana,41.3275,19.8187,26.02,20.82,34.62,0.0,0.0,2.02,1,0,1,1
2014-06-22,Tirana,41.3275,19.8187,24.37,18.85,32.09,0.0,0.0,0.37,0,0,0,0
2014-06-23,Tirana,41.3275,19.8187,23.75,15.84,32.56,0.0,0.0,0.0,0,0,0,0
2014-06-24,Tirana,41.3275,19.8187,23.95,16.97,30.78,0.0,0.0,0.0,0,0,0,0
2014-06-25,Tirana,41.3275,19.8187,26.69,20.05,35.51,0.0,0.0,2.69,1,0,1,1
2014-06-26,Tirana,41.3275,19.8187,29.06,23.48,36.34,0.0,0.0,5.06,1,0,1,1
2014-06-27,Tirana,41.3275,19.8187,27.01,21.47,33.02,0.0,0.0,3.01,1,0,1,1
2014-06-28,Tirana,41.3275,19.8187,25.97,21.34,35.22,0.41,0.0,1.97,0,0,0,0
