priority_rank,unit_id,building_id,city,location_type,building_type,unit_type,meter_type,connection_type,transformer_id,floor,floors,area_sqm,household_size,contracted_power_kw,latitude,longitude,readings,avg_consumption,median_consumption,std_consumption,total_consumption,avg_expected_kwh,total_expected_kwh,zero_days,low_expected_days,sudden_drop_days,flatline_days,weather_low_mismatch_days,normal_high_mismatch_days,avg_temp_mean,avg_weather_demand_pressure,fraud_label,anomaly_type,zero_ratio,flatline_ratio,low_expected_ratio,weather_mismatch_ratio,expected_gap_pct,kwh_per_sqm,kwh_per_person,cv_consumption,peer_avg_consumption,peer_low_gap_pct,estimated_missing_kwh_30d,estimated_loss_lek_30d,building_ai_anomaly_score,fraud_probability,consumption_deviation_score,peer_deviation_score,meter_behavior_score,weather_context_score,loss_impact_score,risk_score,risk_level,main_reason,recommended_action,alert_explanation
1,BLD-PES-0061-U001,BLD-PES-0061,Peshkopi,Village,Residential,Apartment,Unknown,Individual Meter,TR-PES,0,7,72.4,3,3.7,41.605352,20.462755,180,1.3883055555555557,0.954,2.0326948733180914,249.895,12.454183333333335,2241.753,0,171,1,21,138,0,5.995722222222223,0.8055555555555556,1,uploaded_positive_label,0.0,0.11666666666666667,0.95,0.7666666666666667,0.8885269697419831,0.019175491098833642,0.4627685185185186,1.464155253995704,13.497733333333334,0.8971452820061969,331.97633333333334,4481.6805,98.15,0.9994368474873537,74.04,89.71,5.97,76.67,66.48,79.95,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-PES-0061-U001 in BLD-PES-0061 is High risk because the strongest signal is AI outlier behavior. Expected gap: 89%, peer low gap: 90%, weather mismatch: 77%."
2,BLD-PER-0007-U001,BLD-PER-0007,Permet,Village,Residential,Apartment,Unknown,Individual Meter,TR-PER,0,5,74.9,3,10.2,40.248695,20.37417,180,1.4558222222222221,0.976,2.244609331713958,262.048,11.925977777777778,2146.676,0,171,1,26,124,0,8.125777777777778,0.6888888888888889,1,uploaded_positive_label,0.0,0.14444444444444443,0.95,0.6888888888888889,0.8779284810562935,0.01943687880136478,0.485274074074074,1.5418155441312755,13.084955555555554,0.8887407591075756,314.1046666666667,4240.4130000000005,100.0,0.9954869849711672,73.16,88.87,6.91,68.89,62.9,79.16,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-PER-0007-U001 in BLD-PER-0007 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 89%, weather mismatch: 69%."
3,BLD-TIR-0017-U009,BLD-TIR-0017,Tirana,City,Residential,Apartment,Unknown,Individual Meter,TR-TIR,8,8,113.4,4,10.6,41.348101,19.838312,180,2.3172,1.5835,3.2853881098589013,417.096,18.729272222222225,3371.2690000000002,0,171,1,12,111,0,9.16211111111111,0.6222222222222222,1,uploaded_positive_label,0.0,0.06666666666666667,0.95,0.6166666666666667,0.8762792289787614,0.020433862433862433,0.5793,1.417826734791516,12.607433333333335,0.8162036682063227,492.3621666666667,6646.889250000001,96.45,0.9954869849711672,73.02,81.62,4.27,61.67,98.59,78.74,High,estimated loss impact,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-TIR-0017-U009 in BLD-TIR-0017 is High risk because the strongest signal is estimated loss impact. Expected gap: 88%, peer low gap: 82%, weather mismatch: 62%."
4,BLD-PER-0004-U006,BLD-PER-0004,Permet,Village,Residential,Apartment,Unknown,Individual Meter,TR-PER,0,3,35.0,3,7.4,40.196956,20.308103,180,1.4048722222222223,0.9824999999999999,1.983661996546418,252.877,11.491527777777778,2068.475,2,171,1,25,122,0,7.983777777777777,0.6777777777777778,1,uploaded_positive_label,0.011111111111111112,0.1388888888888889,0.95,0.6777777777777778,0.8777471325493419,0.04013920634920635,0.4682907407407408,1.4119874855299424,13.084955555555554,0.8926345438272622,302.5996666666667,4085.0955000000004,97.05,0.9954869849711672,73.15,89.26,7.19,67.78,60.59,78.56,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-PER-0004-U006 in BLD-PER-0004 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 89%, weather mismatch: 68%."
5,BLD-TIR-0025-U005,BLD-TIR-0025,Tirana,City,Residential,Apartment,Unknown,Individual Meter,TR-TIR,2,2,151.5,4,5.1,41.342881,19.831366,180,2.46505,1.6360000000000001,3.959766802674651,443.709,19.11113888888889,3440.005,0,171,1,10,109,1,9.342444444444444,0.6055555555555555,1,uploaded_positive_label,0.0,0.05555555555555555,0.95,0.6111111111111112,0.871015013059574,0.01627095709570957,0.6162625,1.6063636853916352,12.607433333333335,0.804476459654754,499.3826666666666,6741.665999999999,91.06,1.0,72.58,80.45,3.89,61.11,100.0,77.83,High,estimated loss impact,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-TIR-0025-U005 in BLD-TIR-0025 is High risk because the strongest signal is estimated loss impact. Expected gap: 87%, peer low gap: 80%, weather mismatch: 61%."
6,BLD-FIE-0054-U005,BLD-FIE-0054,Fier,City,Residential,Apartment,Unknown,Individual Meter,TR-FIE,1,3,82.9,5,5.4,40.73253,19.55499,180,1.759077777777778,1.2885,2.3733685027367213,316.634,14.841255555555556,2671.426,2,171,1,11,104,0,9.469111111111111,0.5777777777777777,1,uploaded_positive_label,0.011111111111111112,0.06111111111111111,0.95,0.5777777777777777,0.8814737896539152,0.021219273555823617,0.3518155555555556,1.3492118044575434,11.755369444444444,0.8503596347106629,392.4653333333333,5298.282,90.63,1.0,73.46,85.04,4.54,57.78,78.59,77.09,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-FIE-0054-U005 in BLD-FIE-0054 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 85%, weather mismatch: 58%."
7,BLD-TIR-0059-U010,BLD-TIR-0059,Tirana,City,Residential,Apartment,Unknown,Individual Meter,TR-TIR,1,8,63.4,4,3.3,41.354302,19.806455,180,1.5683055555555556,1.0925,2.2852749479391887,282.295,12.682038888888888,2282.767,1,171,1,15,114,0,9.172555555555554,0.6333333333333333,1,uploaded_positive_label,0.005555555555555556,0.08333333333333333,0.95,0.6333333333333333,0.876336481121376,0.024736680686996144,0.3920763888888889,1.4571618010558245,12.607433333333335,0.8756046917647349,333.412,4501.062,89.06,1.0,73.03,87.56,5.07,63.33,66.76,76.95,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-TIR-0059-U010 in BLD-TIR-0059 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 88%, weather mismatch: 63%."
8,BLD-FIE-0021-U006,BLD-FIE-0021,Fier,Village,Residential,Apartment,Unknown,Individual Meter,TR-FIE,3,4,55.5,4,5.7,40.83459,19.511752,180,1.6167888888888888,1.1564999999999999,2.198921782479415,291.022,13.123105555555556,2362.159,1,171,1,19,104,0,9.682055555555555,0.5777777777777777,1,uploaded_positive_label,0.005555555555555556,0.10555555555555556,0.95,0.5777777777777777,0.8767983018924637,0.02913133133133133,0.4041972222222222,1.3600549815694165,12.236683333333334,0.8678736022787583,345.1895,4660.05825,89.06,1.0,73.07,86.79,5.82,57.78,69.12,76.63,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-FIE-0021-U006 in BLD-FIE-0021 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 87%, weather mismatch: 58%."
9,BLD-VLO-0037-U012,BLD-VLO-0037,Vlore,City,Residential,Apartment,Unknown,Individual Meter,TR-VLO,2,4,45.3,2,4.8,40.467222,19.478481,180,1.079977777777778,0.7885,1.4457445200935424,194.39600000000002,8.76838888888889,1578.31,2,171,1,21,92,0,10.471222222222222,0.5166666666666667,1,uploaded_positive_label,0.011111111111111112,0.11666666666666667,0.95,0.5111111111111111,0.8768328148462596,0.023840569045867063,0.539988888888889,1.3386798782734088,10.344127777777778,0.8955950853490144,230.65233333333336,3113.8065,93.06,0.9998228259264728,73.07,89.56,6.43,51.11,46.19,75.87,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-VLO-0037-U012 in BLD-VLO-0037 is High risk because the strongest signal is AI outlier behavior. Expected gap: 88%, peer low gap: 90%, weather mismatch: 51%."
10,BLD-VLO-0037-U008,BLD-VLO-0037,Vlore,City,Residential,Apartment,Unknown,Individual Meter,TR-VLO,1,4,69.1,1,5.5,40.467628,19.483281,180,1.7900444444444445,1.292,2.4341245356384102,322.208,13.75301111111111,2475.542,1,171,1,12,89,0,10.625333333333334,0.49444444444444446,1,uploaded_positive_label,0.005555555555555556,0.06666666666666667,0.95,0.49444444444444446,0.8698434524641473,0.025905129442032486,1.7900444444444445,1.3598123461084572,10.344127777777778,0.8269506639032452,358.889,4845.0015,87.75,1.0,72.49,82.7,4.5,49.44,71.87,75.15,High,AI outlier behavior,"Prioritize meter inspection, compare common-area meter, and verify illegal shared connections.","BLD-VLO-0037-U008 in BLD-VLO-0037 is High risk because the strongest signal is AI outlier behavior. Expected gap: 87%, peer low gap: 83%, weather mismatch: 49%."
